,País,Año,Registro,Clasificacion,Clase,Modo_de_acción,Grupo_Químico,I.A.,Marca,Concentración,Grupo_importador,Importador,Aduana,Transporte,País_Origen,País_procedencia,Cantidad,Unidad,CIF_US$,CIF_Q,Precio,Fecha,Mes,Grupo_fabricante/Offshore,Fabricante/Offshore,Timbres,Estado,Documento_Imp.,Cantidad_320,Cantidad_-1
67,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,40000.0,2485,120400.0,926449.1,3.01,2019-07-10,705,231,30,1056.0,Sólido,1,40000.0,40000.0
68,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,20000.0,2485,55400.0,425388.9,2.77,2019-07-16,705,231,30,555.0,Sólido,1,20000.0,20000.0
69,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,20000.0,2485,55400.0,424473.69,2.77,2019-07-23,705,231,30,554.0,Sólido,1,20000.0,20000.0
70,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,60000.0,2485,186600.0,1438977.1,3.11,2019-06-13,616,231,30,1174.0,Sólido,1,60000.0,60000.0
71,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,40000.0,2485,124400.0,959318.06,3.11,2019-06-13,616,231,30,1091.0,Sólido,1,40000.0,40000.0
72,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,40000.0,2485,115600.0,890427.5,2.89,2019-06-25,616,231,30,1020.0,Sólido,1,40000.0,40000.0
73,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,60000.0,2485,187200.0,1428891.98,3.12,2019-05-02,818,231,30,1173.0,Sólido,1,60000.0,60000.0
74,6425,2019,30,669,1500,227,109,108,20,87,275,275,1264,3798,1058,972,60000.0,2485,187200.0,1434255.26,3.12,2019-05-22,818,231,30,1173.0,Sólido,1,60000.0,60000.0
75,6425,2019,1,669,1500,227,109,108,57,160,275,275,1264,3798,1058,972,18000.0,2485,66600.0,514395.76,3.7,2019-01-24,695,231,30,644.0,Sólido,1,18000.0,18000.0
76,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,211200.0,1639416.77,3.52,2019-02-05,579,231,30,1194.0,Sólido,1,60000.0,60000.0
77,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,40000.0,2485,140800.0,1092974.08,3.52,2019-02-08,579,231,30,1139.0,Sólido,1,40000.0,40000.0
78,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,36000.0,2485,124560.0,960470.95,3.46,2019-03-01,513,231,30,1093.0,Sólido,1,36000.0,36000.0
79,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,60000.0,2485,211200.0,1628544.19,3.52,2019-03-01,513,231,30,1193.0,Sólido,1,60000.0,60000.0
80,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,40000.0,2485,140800.0,1084502.14,3.52,2019-03-08,513,231,30,1138.0,Sólido,1,40000.0,40000.0
81,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,972,40000.0,2485,140800.0,1084502.14,3.52,2019-03-08,513,231,30,1138.0,Sólido,1,40000.0,40000.0
82,6425,2019,30,669,1500,227,109,108,57,87,275,275,1264,3798,1058,256,54000.0,2485,186300.0,1432719.66,3.45,2019-03-22,513,231,30,1173.0,Sólido,1,54000.0,54000.0
83,6425,2019,26,669,1500,227,109,108,20,87,371,231,1264,3798,1058,972,80000.0,2485,245600.0,1880323.42,3.07,2019-05-07,818,313,311,1218.0,Sólido,1,80000.0,80000.0
84,6425,2019,26,669,1500,227,109,108,20,87,371,231,1264,3798,1058,972,80000.0,2485,245600.0,1880323.42,3.07,2019-05-07,818,313,311,1218.0,Sólido,1,80000.0,80000.0
